User,1: Toy Story (1995),1210: Star Wars: Episode VI - Return of the Jedi (1983),356: Forrest Gump (1994),"318: Shawshank Redemption, The (1994)","593: Silence of the Lambs, The (1991)",3578: Gladiator (2000),260: Star Wars: Episode IV - A New Hope (1977),2028: Saving Private Ryan (1998),296: Pulp Fiction (1994),1259: Stand by Me (1986),2396: Shakespeare in Love (1998),2916: Total Recall (1990),780: Independence Day (ID4) (1996),541: Blade Runner (1982),1265: Groundhog Day (1993),"2571: Matrix, The (1999)",527: Schindler's List (1993),"2762: Sixth Sense, The (1999)",1198: Raiders of the Lost Ark (1981),34: Babe (1995)
755,-1.2,1.8,-1.2,0,0.8,0.8,-2.2,-1.2,0,-0.2,-1.2,0,1.8,-1.2,1.8,0.8,-1.2,1.8,0,0
5277,-1.76923076923077,0,0,-0.769230769230769,1.23076923076923,-0.769230769230769,2.23076923076923,0,0,1.23076923076923,0.230769230769231,-0.769230769230769,-0.769230769230769,0,-0.769230769230769,0,2.23076923076923,-1.76923076923077,0.230769230769231,0
1577,0,0,0,2.66666666666667,-0.333333333333333,0,0,0,0,-1.33333333333333,0,-1.33333333333333,1.66666666666667,1.66666666666667,-1.33333333333333,-1.33333333333333,-0.333333333333333,0.666666666666667,-1.33333333333333,0.666666666666667
4388,-0.833333333333333,0.166666666666667,0,0,0,-1.83333333333333,0,0.166666666666667,1.16666666666667,0,0,1.16666666666667,0,0.166666666666667,2.16666666666667,0,2.16666666666667,-1.83333333333333,-1.83333333333333,-0.833333333333333
1202,0,-0.214285714285714,0.785714285714286,-2.21428571428571,0.785714285714286,-2.21428571428571,0.785714285714286,0.785714285714286,0,-2.21428571428571,1.78571428571429,-2.21428571428571,0,0.785714285714286,0,-0.214285714285714,1.78571428571429,1.78571428571429,0,0
3823,-0.0714285714285716,0.928571428571428,0.928571428571428,0.928571428571428,0,0,-1.07142857142857,-2.07142857142857,0.928571428571428,0.928571428571428,1.92857142857143,-1.07142857142857,0.928571428571428,0,-2.07142857142857,0,0,-0.0714285714285716,0,-1.07142857142857
5448,0,0,0.333333333333333,-1.66666666666667,-1.66666666666667,1.33333333333333,1.33333333333333,2.33333333333333,-0.666666666666667,0,-1.66666666666667,0,0,0.333333333333333,0,-1.66666666666667,0,0,2.33333333333333,-0.666666666666667
5347,-0.666666666666667,0,0,0,0.333333333333333,-0.666666666666667,1.33333333333333,0,0.333333333333333,0,0,-0.666666666666667,-1.66666666666667,-0.666666666666667,1.33333333333333,0,-1.66666666666667,0.333333333333333,2.33333333333333,0
4117,0.833333333333333,-2.16666666666667,0,0.833333333333333,-1.16666666666667,0.833333333333333,1.83333333333333,0.833333333333333,0,-2.16666666666667,-1.16666666666667,0,-2.16666666666667,0,1.83333333333333,0,0,0,0,1.83333333333333
2765,0.818181818181818,-1.18181818181818,0,1.81818181818182,-0.181818181818182,0,0.818181818181818,-0.181818181818182,0.818181818181818,0,0,0,-1.18181818181818,0,0,-1.18181818181818,1.81818181818182,-2.18181818181818,0,0
5450,2.18181818181818,-1.81818181818182,2.18181818181818,0,0,2.18181818181818,-0.818181818181818,0,0,0,0,0.181818181818182,-0.818181818181818,0,0,-1.81818181818182,0,-0.818181818181818,-1.81818181818182,1.18181818181818
139,-0.8,2.2,-0.8,0,0,0,0.2,0,-1.8,0,0.2,0,0.2,0,-0.8,2.2,0,0,0,-0.8
1940,0.222222222222222,0,0,1.22222222222222,0.222222222222222,0,-1.77777777777778,1.22222222222222,0,0,0,-1.77777777777778,0.222222222222222,0,-0.777777777777778,0,0,0,1.22222222222222,0
3118,0.363636363636364,0,0.363636363636364,0,-0.636363636363636,0,0.363636363636364,0,0,1.36363636363636,0,-1.63636363636364,-0.636363636363636,-0.636363636363636,0.363636363636364,2.36363636363636,-1.63636363636364,0,0,0
4656,-1.15384615384615,0.846153846153846,0,0,1.84615384615385,1.84615384615385,0.846153846153846,0,-0.153846153846154,1.84615384615385,0,-2.15384615384615,-0.153846153846154,0,-1.15384615384615,0,-0.153846153846154,0,-0.153846153846154,-2.15384615384615
4796,0,0,-1.58333333333333,0,0.416666666666667,-0.583333333333334,0,-0.583333333333334,0,-1.58333333333333,2.41666666666667,0,-0.583333333333334,0,0,-0.583333333333334,-0.583333333333334,1.41666666666667,0.416666666666667,1.41666666666667
6037,-0.666666666666667,0,0,0,0,0,0,0,-0.666666666666667,0,-0.666666666666667,0,0.333333333333333,0,0.333333333333333,1.33333333333333,0,0,0,0
3048,0.923076923076923,1.92307692307692,-2.07692307692308,1.92307692307692,-2.07692307692308,-2.07692307692308,0.923076923076923,0,1.92307692307692,0,0,0,0,0.923076923076923,0,0,-1.07692307692308,-2.07692307692308,-1.07692307692308,1.92307692307692
4790,-0.545454545454545,-1.54545454545455,0.454545454545455,0,0,1.45454545454545,2.45454545454545,-1.54545454545455,0.454545454545455,0.454545454545455,0.454545454545455,-1.54545454545455,0,0,0,-0.545454545454545,0,0,0,0
4489,-1.11764705882353,-1.11764705882353,-1.11764705882353,0.882352941176471,1.88235294117647,0,-2.11764705882353,-0.117647058823529,-1.11764705882353,-1.11764705882353,-2.11764705882353,0,0.882352941176471,1.88235294117647,1.88235294117647,0.882352941176471,-0.117647058823529,1.88235294117647,-0.117647058823529,0
L2,4.10298806754631,5.14437855430238,4.10360394794159,5.12022844035774,4.36570812030087,5.2297953406756,5.93693036415621,4.09686017628134,3.50862045626806,4.79820803662876,4.8534595342167,4.80882421732645,4.33105324502599,3.19667645041619,5.10847704737421,4.85436433024603,4.97086127746034,5.36416631972308,4.71715257272139,4.29806007332928
